ID;LAT;LON;New Greenlandic name;Old Greenlandic name;Foreign name;Official name;Alternative names;RGI_ID;GLIMS_ID;RGI_CEN_LON;RGI_CEN_LAT;Type
GGN0563;76,1667;-21,9167; ; ;Soranerbræen;Soranerbræen; ;;;;;GrIS
GGN0564;76,1741;-68,3171; ; ;Cluett Gletsjer;Cluett Gletsjer; ;RGI40-05.07722;G291761E76185N;-68,2394;76,1848;LGIC
GGN0565;76,2;-26,1167; ; ;Metaforgletsjer;Metaforgletsjer; ;;;;;GrIS
GGN0566;76,2;-25,5; ; ;Ebbe Gletsjer;Ebbe Gletsjer; ;;;;;GrIS
GGN0567;76,2167;-60,9999; ; ;Rink Gletsjer;Rink Gletsjer; ;;;;;GrIS
GGN0568;76,2397;-65,2432;Savissuup Sermia;;Savigssuaq Gletscher;Savissuup Sermia;Savissuaq Gletscher;;;;;GrIS
GGN0569;76,2533;-64,8682; ; ;Helland Gletsjer;Helland Gletsjer; ;;;;;GrIS
GGN0570;76,2667;-63,7998;Appaliarsulipaluup Sermia;Agpaliarssulipalûp Sermia;Mohn Gletsjer;Appaliarsulipaluup Sermia;Appaliarrulipaluup Hermia;RGI40-05.07600;G296228E76253N;-63,7722;76,2525;LGIC
GGN0571;76,2774;-68,5855;Paakitsup Sermersua;Pâkitsup Sermerssua;Pituffik Gletsjer;Paakitsup Sermersua;Paakitsup Hermerrianga;RGI40-05.07736;G291713E76310N;-68,2868;76,3096;LGIC
GGN0572;76,3;-61,7666;Qeqertat Timaanni Sermeq; ;Döcker Smith Gletsjer;Qeqertat Timaanni Sermeq;Qikertat Timaani Sermeq;;;;;GrIS
GGN0573;76,3167;-62,4999; ; ;Morell Gletsjer;Morell Gletsjer;;;;;;GrIS
GGN0574;76,3195;-24,9938; ; ;Budolfi Isstrøm;Budolfi Isstrøm; ;;;;;GrIS
GGN0575;76,3334;-64,0831; ; ;Yngvar Nielsen Gletsjer;Yngvar Nielsen Gletsjer; ;;;;;GrIS
GGN0576;76,3833;-62,7665;Innaqqissorsuup Oqquani Sermeq; ;Gade Gletsjer;Innaqqissorsuup Oqquani Sermeq; ;;;;;GrIS
GGN0577;76,4256;-24,1076; ; ;Ejnar Gletsjer;Ejnar Gletsjer; ;;;;;GrIS
GGN0578;76,4873;-25,0504; ; ;Pony Gletsjer;Pony Gletsjer; ;;;;;GrIS
GGN0579;76,5001;-68,2366; ; ;Store Landgletsjer;Store Landgletsjer; ;RGI40-05.07772;G291955E76463N;-68,0454;76,4630;LGIC
GGN0580;76,5371;-24,7491; ; ;Kursbræ;Kursbræ; ;RGI40-05.09342;G335213E76547N;-24,7875;76,5465;LGIC
GGN0581;76,5797;-67,626;Ullip Sermia;Uvdlip Sermerssuaq;Harald Moltke Bræ;Ullip Sermia;"Sermersuaq; Nunatarruup Hermia";;;;;GrIS
GGN0582;76,6333;-22,6667; ; ;Bredebræ;Bredebræ; ;;;;;GrIS
GGN0583;76,65;-24,1333; ; ;Borgjøkel;Borgjøkel; ;;;;;GrIS
GGN0584;76,6988;-67,0432; ; ;Søndre Tvillinggletsjer;Søndre Tvillinggletsjer;;;;;;GrIS
GGN0585;76,719;-68,4795;Naajat Sermiat;Naujat Sermiat;Chamberlin Gletsjer;Naajat Sermiat; ;RGI40-05.08057;G291497E76805N;-68,5028;76,8049;LGIC
GGN0586;76,7229;-68,6739;Pinguarsuit Sermiat;Pinguarssuit Sermiat;Salisbury Gletsjer;Pinguarsuit Sermiat; ;RGI40-05.08057;G291497E76805N;-68,5028;76,8049;LGIC
GGN0587;76,7275;-67,0014; ; ;Nordre Tvillinggletsjer;Nordre Tvillinggletsjer;;;;;;GrIS
GGN0588;76,7578;-67,7971;Equutissaatsut Sermiat;Eqûtigssaitsut Sermiat;Knud Rasmussen Gletsjer;Equutissaatsut Sermiat; ;RGI40-05.08054;G292408E76864N;-67,5921;76,8639;LGIC
GGN0589;76,773;-67,0206; ; ;Rampen;Rampen; ;;;;;GrIS
GGN0590;76,8303;-66,8866; ; ;Tunnelgletsjer;Tunnelgletsjer; ;RGI40-05.07857;G293108E76832N;-66,8925;76,8319;LGIC
GGN0591;76,8413;-67,2557; ; ;Hundetunge Gletsjer;Hundetunge Gletsjer; ;RGI40-05.08054;G292408E76864N;-67,5921;76,8639;LGIC
GGN0592;76,85;-24,7667; ; ;Trefork Gletsjer;Trefork Gletsjer; ;;;;;GrIS
GGN0593;76,85;-66,8329; ; ;Skjulgletsjer;Skjulgletsjer; ;;;;;GrIS
GGN0594;76,8887;-70,1684; ; ;Witzansky Gletsjer;Witzansky Gletsjer; ;RGI40-05.08052;G289786E76905N;-70,2139;76,9054;LGIC
GGN0595;76,9406;-70,0698; ; ;Ivar Berendsen Gletsjer;Ivar Berendsen Gletsjer; ;RGI40-05.08048;G289856E76945N;-70,1436;76,9445;LGIC
GGN0596;76,9833;-25,1333; ; ;Admiralty Gletsjer;Admiralty Gletsjer; ;;;;;GrIS
GGN0597;76,9876;-70,9062;Sermipaluk;Sermipaluk; ;Sermipaluk; ;RGI40-05.08044;G289231E77041N;-70,7686;77,0406;LGIC
GGN0598;77,0607;-69,4712; ; ;Berlingske Bræ;Berlingske Bræ; ;RGI40-05.08033;G290557E77062N;-69,4434;77,0621;LGIC
GGN0599;77,0667;-22,7667; ; ;Storstrømmen;Storstrømmen; ;;;;;GrIS
GGN0600;77,0801;-66,2232;Sermiarsupaluk;Sermiarssupaluk; ;Sermiarsupaluk; ;;;;;GrIS
GGN0601;77,0825;-24,6629; ; ;Admiralty Gletsjer;Admiralty Gletsjer; ;;;;;GrIS
GGN0602;77,0875;-24,169; ; ;Gultop Gletsjer;Gultop Gletsjer; ;;;;;GrIS
GGN0603;77,1167;-25,1667; ; ;Sunderland Gletsjer;Sunderland Gletsjer; ;;;;;GrIS
GGN0604;77,1167;-22,0833; ; ;Sælsøgletsjer;Sælsøgletsjer; ;;;;;GrIS
GGN0605;77,1299;-70,7566; ; ;Tyndall Gletsjer;Tyndall Gletsjer; ;RGI40-05.08042;G289278E77092N;-70,7216;77,0922;LGIC
GGN0606;77,1602;-69,6024;Itillersuaq;Itivdlerssuaq;Politiken Bræ;Itillersuaq;Itutterriaq;RGI40-05.08024;G290425E77172N;-69,5747;77,1722;LGIC
GGN0607;77,1858;-69,2548;Sermiarsupaluk;Sermiarssupaluk;Savage Gletsjer;Sermiarsupaluk; ;RGI40-05.08065;G290678E77156N;-69,3221;77,1557;LGIC
GGN0608;77,2065;-70,4837;Sermipaluk; ; ;Sermipaluk;Hermipaluk;RGI40-05.08013;G289533E77202N;-70,4671;77,2021;LGIC
GGN0609;77,2069;-66,0029;Kangerluarsorujussuup Qinngua;Kangerdluarssûp Qíngua;Marie Gletsjer;Kangerluarsorujussuup Qinngua;"Kangerluarsuup Qinngua; Kangertuarrurujussuup Qinngua; Marie Bræ; Marre Gletscher";;;;;GrIS
GGN0610;77,2167;-24,9833; ; ;Hasting Gletsjer;Hasting Gletsjer; ;;;;;GrIS
GGN0611;77,2223;-69,7298;Sermiarsussuaq; ; ;Sermiarsussuaq; ;RGI40-05.08022;G290260E77195N;-69,7401;77,1949;LGIC
GGN0612;77,2322;-24,3124; ; ;Britannia Gletsjer;Britannia Gletsjer; ;;;;;GrIS
GGN0613;77,2345;-65,3164; ; ;Academy Gletsjer;Academy Gletsjer;;;;;;GrIS
GGN0614;77,2353;-70,1452;Misuumasoq;Misûmassoq; ;Misuumasoq; ;RGI40-05.08020;G289879E77222N;-70,1210;77,2217;LGIC
GGN0615;77,25;-20,7834; ; ;Søgletsjer;Søgletsjer; ;RGI40-05.09558;G339406E77225N;-20,5943;77,2248;LGIC
GGN0616;77,2562;-65,977; ; ;Leidy Gletsjer;Leidy Gletsjer;;;;;;GrIS
GGN0617;77,3403;-71,6945;Qassisallip Sermia; ;Kiatak Gletsjer;Qassisallip Sermia;Qaggihattup Hermia;RGI40-05.08136;G288274E77340N;-71,7262;77,3404;LGIC
GGN0618;77,3618;-67,9872;Siunnaatalik;Siúnautalik;Hurlbut Gletsjer;Siunnaatalik; ;RGI40-05.07854;G292196E77316N;-67,8041;77,3161;LGIC
GGN0619;77,3667;-24,4167; ; ;Suzanne Bræ;Suzanne Bræ; ;;;;;GrIS
GGN0620;77,3783;-72,2667;Ujarasussuarsuit Itilliat; ; ;Ujarasussuarsuit Itilliat;Ujarahuhhuarruit Itivtiat;RGI40-05.08122;G287724E77384N;-72,2758;77,3838;LGIC
GGN0621;77,3933;-71,6583;Sermiarsussuaq;Sermiarssugssuaq; ;Sermiarsussuaq; ;RGI40-05.08129;G288260E77381N;-71,7403;77,3809;LGIC
GGN0622;77,4072;-71,8968;Marnit Sermiat; ;Robins Gletsjer;Marnit Sermiat;Marnit Hermiat;RGI40-05.08119;G288095E77402N;-71,9053;77,4022;LGIC
GGN0623;77,4072;-72,4525;Qangattaat Sermiat;Sermiarssupaluk;Vestgletsjer;Qangattaat Sermiat;"Sermiarsupaluk; Qangattait Hermiat Appaarruit Timaanni";RGI40-05.08117;G287589E77408N;-72,4112;77,4077;LGIC
GGN0624;77,4199;-72,0338;Ujaassuup Sermia;Ujâgsup Sermia;Parish Gletsjer;Ujaassuup Sermia;"Ujaassup Sermia; Ujaagguup Hermia";RGI40-05.08118;G287929E77398N;-72,0713;77,3982;LGIC
GGN0625;77,4312;-70,4834;Sermiarsupaluk; ; ;Sermiarsupaluk; Hermiarrupaluk;RGI40-05.08083;G289336E77433N;-70,6638;77,4327;LGIC
GGN0626;77,4323;-72,2135;Upernavissuup Sermia;Upernavigssûp Sermia;Kissel Gletsjer;Upernavissuup Sermia;Upernavigguup Hermia;RGI40-05.08116;G287782E77421N;-72,2179;77,4210;LGIC
GGN0627;77,4494;-70,6344;Sermiarsussuaq; ; ;Sermiarsussuaq;Hermiarrurruaq;RGI40-05.08083;G289336E77433N;-70,6638;77,4327;LGIC
GGN0628;77,4999;-69,1936; ; ;Qaanaaq Gletsjer;Qaanaaq Gletsjer; ;RGI40-05.08005;G290838E77522N;-69,1616;77,5223;LGIC
GGN0629;77,5;-21,8667; ; ;Kofoed-Hansen Bræ;Kofoed-Hansen Bræ; ;;;;;GrIS
GGN0630;77,5009;-68,7533;Sermiarsupaluk;Sermiarssupaluk; ;Sermiarsupaluk;Hermiarrupaluk;RGI40-05.08110;G291039E77514N;-68,9608;77,5141;LGIC
GGN0631;77,5167;-65,6664;Qaqujaarsuup Sermia;Qaqujârssûp Sermia;Heilprin Gletsjer;Qaqujaarsuup Sermia; ;;;;;GrIS
GGN0632;77,5257;-69,3009; ; ;Bryant Gletsjer;Bryant Gletsjer; ;RGI40-05.08005;G290838E77522N;-69,1616;77,5223;LGIC
GGN0633;77,5262;-68,6944; ; ;Twin Gletsjer;Twin Gletsjer; ;RGI40-05.08109;G291280E77528N;-68,7202;77,5280;LGIC
GGN0634;77,5602;-68,7785; ; ;Sydgletsjer;Sydgletsjer; ;RGI40-05.08108;G291022E77560N;-68,9777;77,5597;LGIC
GGN0635;77,5629;-69,6524; ; ;Fan Gletsjer;Fan Gletsjer; ;RGI40-05.08106;G290534E77581N;-69,4664;77,5808;LGIC
GGN0636;77,5764;-68,2681; ; ;Østgletsjer;Østgletsjer; ;RGI40-05.08063;G291817E77564N;-68,1827;77,5639;LGIC
GGN0637;77,6025;-67,7419;Quinisut Sermiat;Quinissut Sermiat;Hubbard Gletsjer;Quinisut Sermiat;Quinnisut Sermiat;;;;;GrIS
GGN0638;77,6059;-68,7698;Sermiarsupaluk;Sermiarssupaluk;Gnom Gletsjer;Sermiarsupaluk;Hermiarrupaluk;RGI40-05.08104;G291169E77605N;-68,8314;77,6050;LGIC
GGN0639;77,6167;-68,1828; ; ;Gable Gletsjer;Gable Gletsjer; ;;;;;GrIS
GGN0640;77,636;-68,9673;Qaqortap Sermia;;Qaqortaq Gletscher;Qaqortap Sermia;;RGI40-05.08103;G290914E77601N;-69,0859;77,6010;LGIC
GGN0641;77,6545;-69,4092; ; ;Scarlet Heart Gletsjer;Scarlet Heart Gletsjer; ;RGI40-05.08095;G290628E77632N;-69,3719;77,6324;LGIC
GGN0642;77,6564;-65,9679;Qeqertaarsuusarsuup Sermia;Qeqertârssûssarssûp Sermia;Tracy Gletsjer;Qeqertaarsuusarsuup Sermia; ;;;;;GrIS
GGN0643;77,6777;-68,3207; ; ;Mirror Gletsjer;Mirror Gletsjer; ;;;;;GrIS
GGN0644;77,6934;-68,5829;Kangerluarsuup Sermia; ;Bowdoin Gletsjer;Kangerluarsuup Sermia; ;;;;;GrIS
GGN0645;77,6991;-67,1759;Paarnarsuit Sermiat; ;Hart Gletsjer;Paarnarsuit Sermiat; ;;;;;GrIS
GGN0646;77,7;-66,233;Tuttulipaluup Sermia; ;Farquhar Gletsjer;Tuttulipaluup Sermia; ;;;;;GrIS
GGN0647;77,7167;-66,9496;Toornaarsulissuup Sermii; ;Sharp Gletsjer;Toornaarsulissuup Sermii; ;;;;;GrIS
GGN0648;77,7315;-66,6444;Toornaarsulissuup Sermii; ;Melville Gletsjer;Toornaarsulissuup Sermii; ;;;;;GrIS
GGN0649;77,7336;-68,3524; ; ;East Branch Gletsjer;East Branch Gletsjer; ;;;;;GrIS
GGN0650;77,7337;-68,7931;Tuttu Gletsjer;;Tugto Gletscher;Tuttu Gletsjer; ;;;;;GrIS
GGN0651;77,779;-69,4287;Iterlassuup Sermia;Iterdlagssûp Qíngua;Sun Gletsjer;Iterlassuup Sermia;"Iterlassuup Qinngua; Itertagguup Sermia";;;;;GrIS
GGN0652;77,8108;-70,9613;Naajaat Sermiat; ;Illuluarsuit Gletsjer;Naajaat Sermiat;Naujaat Sermiat;RGI40-05.08191;G289065E77823N;-70,9353;77,8230;LGIC
GGN0653;77,8378;-71,1813;Sermiarsupaluk;Sermiarssupaluk; ;Sermiarsupaluk; ;RGI40-05.08188;G288897E77833N;-71,1034;77,8329;LGIC
GGN0654;77,854;-70,6716;Siorarsuit Sermiat; ;Siorarsuaq Gletsjer;Siorarsuit Sermiat; ;RGI40-05.08182;G289359E77848N;-70,6412;77,8478;LGIC
GGN0655;77,8757;-69,8513;Qinnguata Sermia;Siorapalûp Qíngua;Verhoeff Gletsjer;Qinnguata Sermia;Siorapaluup Qinngua;;;;;GrIS
GGN0656;77,88;-70,2973;Ikernup Sermia;Ikernup Sermia;Meehan Gletsjer;Ikernup Sermia; ;;;;;GrIS
GGN0657;77,907;-71,0812;Neqip Sermia;Neqip Sermia;Morris Jesup Gletsjer;Neqip Sermia; ;;;;;GrIS
GGN0658;77,9475;-71,8501;Arfalluarfiup Sermia;Pitorâviup Sermia;Clements Markham Gletsjer;Arfalluarfiup Sermia;Pitoraaviup Sermia;;;;;GrIS
GGN0659;77,9521;-71,5907;Arfalluarfiup Sermia;Arfagdluarfiup Sermia;Diebitsch Gletsjer;Arfalluarfiup Sermia;Neqip Illuata Sermia;;;;;GrIS
GGN0660;78,0224;-72,1669; ; ;Bamse Gletsjer;Bamse Gletsjer; ;;;;;GrIS
GGN0661;78,0598;-72,2383; ; ;Bu Gletsjer;Bu Gletsjer; ;;;;;GrIS
GGN0662;78,0717;-72,4301;Itutterriaq; ;Child Gletsjer;Itutterriaq; ;;;;;GrIS
GGN0663;78,1415;-72,7544; ; ;Storm Gletsjer;Storm Gletsjer; ;;;;;GrIS
GGN0664;78,1537;-72,6797;Itilliarsuk;Itivdliarssuk; ;Itilliarsuk; ;;;;;GrIS
