LE07_L1TP_021007_20000302_20170213_01_T1	LE70210072000062KIS00
LE07_L1TP_020007_20000311_20170213_01_T1	LE70200072000071KIS00
LE07_L1TP_022007_20000325_20170212_01_T1	LE70220072000085EDC00
LE07_L1TP_022006_20000325_20170212_01_T1	LE70220062000085EDC00
LE07_L1TP_021007_20000403_20170212_01_T1	LE70210072000094KIS00
LE07_L1TP_018007_20000414_20170212_01_T1	LE70180072000105EDC00
LE07_L1TP_022007_20000426_20170212_01_T1	LE70220072000117EDC00
LE07_L1TP_020007_20000428_20170212_01_T1	LE70200072000119EDC00
LE07_L1TP_021007_20000505_20170212_01_T1	LE70210072000126EDC00
LE07_L1TP_019007_20000507_20170212_01_T1	LE70190072000128EDC00
LE07_L1TP_018007_20000516_20170211_01_T1	LE70180072000137EDC00
LE07_L1TP_019007_20000523_20170211_01_T1	LE70190072000144KIS00
LE07_L1TP_018007_20000601_20170211_01_T1	LE70180072000153SGS00
LE07_L1TP_019007_20000608_20170211_01_T1	LE70190072000160EDC00
LE07_L1TP_020007_20000615_20170211_01_T1	LE70200072000167KIS00
LE07_L1TP_018007_20000617_20170211_01_T1	LE70180072000169KIS00
LE07_L1TP_019007_20000624_20170211_01_T1	LE70190072000176EDC00
LE07_L1TP_022007_20000629_20170211_01_T1	LE70220072000181EDC00
LE07_L1TP_022006_20000629_20170211_01_T1	LE70220062000181EDC00
LE07_L1TP_021007_20000724_20170210_01_T1	LE70210072000206EDC00
LE07_L1TP_022006_20000731_20170210_01_T1	LE70220062000213KIS00
LE07_L1TP_019007_20000827_20170210_01_T1	LE70190072000240EDC00
LE07_L1TP_020007_20000903_20170210_01_T1	LE70200072000247EDC00
LE07_L1TP_019007_20000912_20170210_01_T1	LE70190072000256SGS00
LE07_L1TP_019007_20010307_20170206_01_T1	LE70190072001066EDC00
LE07_L1TP_019007_20010323_20170206_01_T1	LE70190072001082EDC00
LE07_L1TP_020007_20010330_20170206_01_T1	LE70200072001089EDC00
LE07_L1TP_018007_20010401_20170205_01_T1	LE70180072001091EDC00
LE07_L1TP_019007_20010408_20170205_01_T1	LE70190072001098EDC00
LE07_L1TP_021007_20010422_20170206_01_T1	LE70210072001112EDC01
LE07_L1TP_022006_20010515_20170205_01_T1	LE70220062001135EDC00
LE07_L1TP_019007_20010526_20170205_01_T1	LE70190072001146EDC00
LE07_L1TP_019007_20010611_20170204_01_T1	LE70190072001162EDC00
LE07_L1TP_022007_20010616_20170205_01_T1	LE70220072001167AGS00
LE07_L1TP_021007_20010625_20170205_01_T1	LE70210072001176EDC00
LE07_L1TP_019007_20010627_20170204_01_T1	LE70190072001178EDC00
LE07_L1TP_020007_20010704_20170204_01_T1	LE70200072001185EDC00
